BARRID,SED-CUS,LOCID,NAME,HBETA,PBETA,SRISK%,TRISK%,COUNTRY,BETA,MOMENTUM,SIZE,EARNYILD,RESVOL,GROWTH,BTOP,LEVERAGE,LIQUIDTY,SIZENL,INDNAME,IND,PRICE,CAPITALIZATION,YLD%,ESTU,ISOCURR,INTRA_MONTH_ADDITION,
CHNAR11,,CN000619,WUHUCONCHPROFILES&SCIENCECO,0.918,0.920,27.746,38.785,1.000,-0.285,-0.385,-2.747,-0.163,-0.786,-1.574,1.811,-0.538,-0.074,-1.199,BLDPROD,7,6.620,2383200000.000,0.434,1,CNY,0,
CHNAR21,,CN600753,FUJIANORIENTALSILVERSTARINVCO,0.982,1.218,58.763,66.489,1.000,-0.059,-0.288,-2.439,-0.875,1.646,1.701,-1.185,-0.816,0.270,-0.230,TRDDIST,12,18.500,3315200000.000,0.000,1,CNY,0,
CHNAR31,,CN600749,TIBETTOURISMCOLTD,0.991,0.972,34.508,44.982,1.000,-0.027,-1.142,-2.873,-0.837,-0.285,-0.034,0.167,-0.944,-0.754,-1.688,CONSSERV,20,9.170,2081273790.890,0.000,1,CNY,0,
CHNAR41,,CN000607,ZHEJIANGHUAMEIHOLDINGCOLTD,0.923,0.877,27.457,38.317,1.000,-0.268,-1.803,-2.257,-0.969,-1.301,-1.138,-0.192,-0.664,-1.664,0.206,MEDIA,21,3.960,4030085703.600,0.000,1,CNY,0,
CHNAR42,,CN000607,ZHEJIANGHUAMEIHOLDINGCOLTD,0.923,0.877,27.457,38.317,1.000,-0.268,-1.803,-2.257,-0.969,-1.301,-1.138,-0.192,-0.664,-1.664,0.206,MEDIA,21,3.960,4030085703.600,0.000,0,CNY,0,
CHNAR81,,CN000612,JIAOZUOWANFANGALUMINUMMNFTGCOL,1.449,1.478,44.887,57.560,1.000,1.595,0.414,-1.561,0.307,0.840,-0.787,0.169,-0.140,1.363,1.079,MTLMIN,4,7.130,8500381679.220,0.126,1,CNY,0,
CHNAR82,,CN000612,JIAOZUOWANFANGALUMINUMMNFTGCOL,1.449,1.478,44.887,57.560,1.000,1.595,0.414,-1.561,0.307,0.840,-0.787,0.169,-0.140,1.363,1.079,MTLMIN,4,7.130,8500381679.220,0.126,0,CNY,0,
CHNAR91,,CN600755,XIAMENITGGROUPCORPLTD,0.867,0.916,22.102,32.936,1.000,-0.465,-0.669,-1.174,1.665,-1.422,0.826,2.015,2.350,0.006,1.131,TRDDIST,12,6.880,12871608744.320,3.168,1,CNY,0,
CHNAR92,,CN600755,XIAMENITGGROUPCORPLTD,0.867,0.916,22.102,32.936,1.000,-0.465,-0.669,-1.174,1.665,-1.422,0.826,2.015,2.350,0.006,1.131,TRDDIST,12,6.880,12871608744.320,3.168,0,CNY,0,
CHNARA1,,CN000609,BEIJINGZODIINVESTMENTCOLTD,1.005,1.070,47.195,57.044,1.000,0.024,-1.729,-3.137,0.083,-0.297,-0.777,1.747,0.660,0.420,-2.525,REALEST,29,5.240,1568151335.280,0.000,1,CNY,0,
CHNARC1,,CN000605,BOHAIWATERINDUSTRYCO,0.712,0.792,27.320,37.357,1.000,-1.013,-1.511,-2.853,0.714,-0.448,0.052,1.545,2.107,-1.414,-1.606,UTILITIE,32,6.030,2126531358.000,0.322,1,CNY,0,
CHNARC2,,CN000605,BOHAIWATERINDUSTRYCO,0.712,0.792,27.320,37.357,1.000,-1.013,-1.511,-2.853,0.714,-0.448,0.052,1.545,2.107,-1.414,-1.606,UTILITIE,32,6.030,2126531358.000,0.322,0,CNY,0,
