InstrumentID,Direction,OffsetFlag,LongPos,TradingDate,StrategyID,AccountID,ShortPos
000828.SZE,0,0,11000,2020-12-09,@hljk1alpha,hljk1alpha,0
000830.SZE,0,0,1100,2020-12-09,@hljk1alpha,hljk1alpha,0
000831.SZE,0,0,8000,2020-12-09,@hljk1alpha,hljk1alpha,0
000833.SZE,0,0,23900,2020-12-09,@hljk1alpha,hljk1alpha,0
000838.SZE,0,0,1300,2020-12-09,@hljk1alpha,hljk1alpha,0
000839.SZE,0,0,42700,2020-12-09,@hljk1alpha,hljk1alpha,0
000848.SZE,0,0,15800,2020-12-09,@hljk1alpha,hljk1alpha,0
000851.SZE,0,0,7200,2020-12-09,@hljk1alpha,hljk1alpha,0
000852.SZE,0,0,9900,2020-12-09,@hljk1alpha,hljk1alpha,0
000856.SZE,0,0,10500,2020-12-09,@hljk1alpha,hljk1alpha,0
000859.SZE,0,0,20000,2020-12-09,@hljk1alpha,hljk1alpha,0
000863.SZE,0,0,21600,2020-12-09,@hljk1alpha,hljk1alpha,0
000869.SZE,0,0,1300,2020-12-09,@hljk1alpha,hljk1alpha,0
000875.SZE,0,0,14100,2020-12-09,@hljk1alpha,hljk1alpha,0
000880.SZE,0,0,11300,2020-12-09,@hljk1alpha,hljk1alpha,0
000881.SZE,0,0,6200,2020-12-09,@hljk1alpha,hljk1alpha,0
000882.SZE,0,0,56000,2020-12-09,@hljk1alpha,hljk1alpha,0
000883.SZE,0,0,28800,2020-12-09,@hljk1alpha,hljk1alpha,0
000885.SZE,0,0,9600,2020-12-09,@hljk1alpha,hljk1alpha,0
000886.SZE,0,0,20000,2020-12-09,@hljk1alpha,hljk1alpha,0
000887.SZE,0,0,9700,2020-12-09,@hljk1alpha,hljk1alpha,0
000892.SZE,0,0,36500,2020-12-09,@hljk1alpha,hljk1alpha,0
000897.SZE,0,0,21300,2020-12-09,@hljk1alpha,hljk1alpha,0
000898.SZE,0,0,37100,2020-12-09,@hljk1alpha,hljk1alpha,0
000899.SZE,0,0,24800,2020-12-09,@hljk1alpha,hljk1alpha,0
000900.SZE,0,0,29100,2020-12-09,@hljk1alpha,hljk1alpha,0
000901.SZE,0,0,11200,2020-12-09,@hljk1alpha,hljk1alpha,0
000902.SZE,0,0,8400,2020-12-09,@hljk1alpha,hljk1alpha,0
000905.SZE,0,0,15500,2020-12-09,@hljk1alpha,hljk1alpha,0
000906.SZE,0,0,16200,2020-12-09,@hljk1alpha,hljk1alpha,0
000908.SZE,0,0,10300,2020-12-09,@hljk1alpha,hljk1alpha,0
000909.SZE,0,0,1200,2020-12-09,@hljk1alpha,hljk1alpha,0
000910.SZE,0,0,7000,2020-12-09,@hljk1alpha,hljk1alpha,0
000911.SZE,0,0,11600,2020-12-09,@hljk1alpha,hljk1alpha,0
000912.SZE,0,0,26900,2020-12-09,@hljk1alpha,hljk1alpha,0
000915.SZE,0,0,4100,2020-12-09,@hljk1alpha,hljk1alpha,0
000918.SZE,0,0,7900,2020-12-09,@hljk1alpha,hljk1alpha,0
000919.SZE,0,0,15700,2020-12-09,@hljk1alpha,hljk1alpha,0
000920.SZE,0,0,11500,2020-12-09,@hljk1alpha,hljk1alpha,0
000921.SZE,0,0,7400,2020-12-09,@hljk1alpha,hljk1alpha,0
000922.SZE,0,0,14000,2020-12-09,@hljk1alpha,hljk1alpha,0
000925.SZE,0,0,15200,2020-12-09,@hljk1alpha,hljk1alpha,0
000926.SZE,0,0,21700,2020-12-09,@hljk1alpha,hljk1alpha,0
000928.SZE,0,0,2100,2020-12-09,@hljk1alpha,hljk1alpha,0
000930.SZE,0,0,6300,2020-12-09,@hljk1alpha,hljk1alpha,0
000931.SZE,0,0,6400,2020-12-09,@hljk1alpha,hljk1alpha,0
000932.SZE,0,0,22100,2020-12-09,@hljk1alpha,hljk1alpha,0
000936.SZE,0,0,1100,2020-12-09,@hljk1alpha,hljk1alpha,0
000948.SZE,0,0,10600,2020-12-09,@hljk1alpha,hljk1alpha,0
000950.SZE,0,0,15100,2020-12-09,@hljk1alpha,hljk1alpha,0
000951.SZE,0,0,3300,2020-12-09,@hljk1alpha,hljk1alpha,0
000958.SZE,0,0,25700,2020-12-09,@hljk1alpha,hljk1alpha,0
000959.SZE,0,0,28600,2020-12-09,@hljk1alpha,hljk1alpha,0
000960.SZE,0,0,10700,2020-12-09,@hljk1alpha,hljk1alpha,0
000965.SZE,0,0,32700,2020-12-09,@hljk1alpha,hljk1alpha,0
000967.SZE,0,0,7000,2020-12-09,@hljk1alpha,hljk1alpha,0
000968.SZE,0,0,14300,2020-12-09,@hljk1alpha,hljk1alpha,0
000969.SZE,0,0,16300,2020-12-09,@hljk1alpha,hljk1alpha,0
000970.SZE,0,0,11400,2020-12-09,@hljk1alpha,hljk1alpha,0
000973.SZE,0,0,11700,2020-12-09,@hljk1alpha,hljk1alpha,0
000976.SZE,0,0,20000,2020-12-09,@hljk1alpha,hljk1alpha,0
000978.SZE,0,0,5000,2020-12-09,@hljk1alpha,hljk1alpha,0
000985.SZE,0,0,300,2020-12-09,@hljk1alpha,hljk1alpha,0
000987.SZE,0,0,3500,2020-12-09,@hljk1alpha,hljk1alpha,0
000988.SZE,0,0,4700,2020-12-09,@hljk1alpha,hljk1alpha,0
000989.SZE,0,0,13700,2020-12-09,@hljk1alpha,hljk1alpha,0
000990.SZE,0,0,6800,2020-12-09,@hljk1alpha,hljk1alpha,0
000996.SZE,0,0,2100,2020-12-09,@hljk1alpha,hljk1alpha,0
000997.SZE,0,0,5300,2020-12-09,@hljk1alpha,hljk1alpha,0
000998.SZE,0,0,6347,2020-12-09,@hljk1alpha,hljk1alpha,0
000999.SZE,0,0,3500,2020-12-09,@hljk1alpha,hljk1alpha,0
001696.SZE,0,0,13600,2020-12-09,@hljk1alpha,hljk1alpha,0
001896.SZE,0,0,30400,2020-12-09,@hljk1alpha,hljk1alpha,0
001914.SZE,0,0,4700,2020-12-09,@hljk1alpha,hljk1alpha,0
001965.SZE,0,0,7300,2020-12-09,@hljk1alpha,hljk1alpha,0
002002.SZE,0,0,28500,2020-12-09,@hljk1alpha,hljk1alpha,0
002003.SZE,0,0,16100,2020-12-09,@hljk1alpha,hljk1alpha,0
002004.SZE,0,0,100,2020-12-09,@hljk1alpha,hljk1alpha,0
002006.SZE,0,0,20500,2020-12-09,@hljk1alpha,hljk1alpha,0
002009.SZE,0,0,11000,2020-12-09,@hljk1alpha,hljk1alpha,0
002011.SZE,0,0,29200,2020-12-09,@hljk1alpha,hljk1alpha,0
002012.SZE,0,0,19100,2020-12-09,@hljk1alpha,hljk1alpha,0
002013.SZE,0,0,11100,2020-12-09,@hljk1alpha,hljk1alpha,0
002014.SZE,0,0,11000,2020-12-09,@hljk1alpha,hljk1alpha,0
002015.SZE,0,0,19800,2020-12-09,@hljk1alpha,hljk1alpha,0
002016.SZE,0,0,16800,2020-12-09,@hljk1alpha,hljk1alpha,0
002017.SZE,0,0,4100,2020-12-09,@hljk1alpha,hljk1alpha,0
002019.SZE,0,0,5100,2020-12-09,@hljk1alpha,hljk1alpha,0
002022.SZE,0,0,3100,2020-12-09,@hljk1alpha,hljk1alpha,0
002023.SZE,0,0,3800,2020-12-09,@hljk1alpha,hljk1alpha,0
002025.SZE,0,0,2200,2020-12-09,@hljk1alpha,hljk1alpha,0
002028.SZE,0,0,5300,2020-12-09,@hljk1alpha,hljk1alpha,0
002029.SZE,0,0,10700,2020-12-09,@hljk1alpha,hljk1alpha,0
002033.SZE,0,0,16000,2020-12-09,@hljk1alpha,hljk1alpha,0
002034.SZE,0,0,7000,2020-12-09,@hljk1alpha,hljk1alpha,0
002036.SZE,0,0,9700,2020-12-09,@hljk1alpha,hljk1alpha,0
